fold,category,baseline,global10,category10,category_delta_baseline,category_delta_global
fold_01,Автотовары,0.7156580180161154,0.7157761569705567,0.7150300379433595,-0.0006279800727558849,-0.000746119027197234
fold_01,Аптека,0.8788022560281104,0.8776080886435629,0.8787350774286777,-6.717859943261573e-05,0.0011269887851148574
fold_01,Бытовая техника,0.8527543638787729,0.853394351708112,0.8547976681330431,0.0020433042542702395,0.0014033164249311891
fold_01,Бытовая химия,0.9018880271913569,0.9015522407381298,0.9008734051099103,-0.0010146220814465368,-0.0006788356282194652
fold_01,Галантерея и аксессуары,0.7332879017241336,0.7306874635342424,0.7330958500888893,-0.0001920516352442725,0.002408386554646924
fold_01,Детские товары,0.9218219865836581,0.9222566952537286,0.9218207901316204,-1.1964520376661625e-06,-0.0004359051221081156
fold_01,Дом и сад,0.8391542444165505,0.8401177879223115,0.839071730039539,-8.251437701145559e-05,-0.0010460578827724554
fold_01,Канцелярские товары,0.8022426411604925,0.8018178560918093,0.801409592059705,-0.0008330491007875196,-0.00040826403210436624
fold_01,Красота и гигиена,0.8402361138007578,0.8382948723049,0.8391104878926925,-0.0011256259080653086,0.0008156155877925286
fold_01,Мебель,0.7611745342659518,0.7618427381337501,0.7605378251706079,-0.000636709095343968,-0.0013049129631422796
fold_01,Музыкальные инструменты,0.8674793348516949,0.8664563443330024,0.867170852097722,-0.00030848275397288294,0.0007145077647195963
fold_01,Обувь,0.5779765931708976,0.5781129996437329,0.5754299065736341,-0.0025466865972634256,-0.00268309307009873
fold_01,Одежда,0.5930892467562828,0.5973907403912844,0.5958886289727958,0.002799382216512991,-0.0015021114184885498
fold_01,Продукты питания,0.8953367755570786,0.8949697520124544,0.8954226004686587,8.582491158015682e-05,0.00045284845620430225
fold_01,Спорт и отдых,0.7469185418134681,0.7491854451291735,0.7478669093203639,0.0009483675068958641,-0.0013185358088095844
fold_01,Строительство и ремонт,0.8073146341169205,0.8046844158674081,0.8072383548181528,-7.62792987677452e-05,0.0025539389507446275
fold_01,Товары для животных,0.9113090008941629,0.9099995698828627,0.9108157981243818,-0.0004932027697810426,0.000816228241519168
fold_01,Хобби и творчество,0.9302881306065802,0.9302241851162666,0.9298643817242515,-0.0004237488823287672,-0.00035980339201513445
fold_01,Электроника,0.7889076698681966,0.7857251148199795,0.7871593260004809,-0.0017483438677157181,0.0014342111805013547
fold_01,Ювелирные изделия,0.6247628882893573,0.6271064968957614,0.6261460484174405,0.0013831601280831496,-0.0009604484783208855
fold_02,Автотовары,0.7462510326910466,0.7459967414336426,0.747280827090781,0.001029794399734385,0.0012840856571384451
fold_02,Аптека,0.8783021494600689,0.8790117927792218,0.8795013611353144,0.001199211675245504,0.0004895683560925956
fold_02,Бытовая техника,0.8580634642385858,0.8579126402031023,0.8580453824190226,-1.808181956319821e-05,0.00013274221592030067
fold_02,Бытовая химия,0.9196296543940038,0.9206320374912962,0.9205099175660224,0.0008802631720186138,-0.00012211992527377813
fold_02,Галантерея и аксессуары,0.7462578887871891,0.7452850041107988,0.7473460077752989,0.0010881189881097875,0.0020610036645001273
fold_02,Детские товары,0.9243628196830197,0.9245703648071733,0.9248048709295476,0.00044205124652785255,0.00023450612237430057
fold_02,Дом и сад,0.8534312046770749,0.8546644355807784,0.8542398532585034,0.0008086485814284838,-0.00042458232227504666
fold_02,Канцелярские товары,0.8416719646291979,0.8402705351243664,0.8413966510344959,-0.0002753135947020091,0.0011261159101294549
fold_02,Красота и гигиена,0.8342800839713788,0.8342658331908502,0.8341098293321418,-0.00017025463923692197,-0.00015600385870839784
fold_02,Мебель,0.7590522013105834,0.7575044142197849,0.7608486537543153,0.001796452443731944,0.0033442395345304465
fold_02,Музыкальные инструменты,0.8674397941217248,0.8656750002646689,0.8657874119871924,-0.0016523821345323375,0.00011241172252351994
fold_02,Обувь,0.573909742919287,0.5757131810624743,0.5716675363950618,-0.002242206524225132,-0.004045644667412418
fold_02,Одежда,0.5759583186909639,0.5769048098087196,0.5775978531495369,0.001639534458573011,0.0006930433408173231
fold_02,Продукты питания,0.8968190619450163,0.8966466891230724,0.8966461961285024,-0.00017286581651387856,-4.929945700560268e-07
fold_02,Спорт и отдых,0.7646291639036379,0.7646117150417818,0.7636242502029499,-0.0010049137006880038,-0.0009874648388319418
fold_02,Строительство и ремонт,0.8338739750620323,0.8332896033106382,0.8332005437667914,-0.0006734312952408894,-8.905954384674786e-05
fold_02,Товары для животных,0.9084528153407347,0.9085617014686997,0.9086478575084492,0.00019504216771448757,8.615603974948538e-05
fold_02,Хобби и творчество,0.9430900717767225,0.9433452344762521,0.9432477964495922,0.00015772467286967462,-9.743802665984624e-05
fold_02,Электроника,0.7900255320306865,0.7924758786267885,0.7906316153203128,0.0006060832896263024,-0.0018442633064756908
fold_02,Ювелирные изделия,0.5713910769837477,0.5715483369856796,0.575364977158931,0.003973900175183287,0.00381664017325134
