fold,variant,category,ap
fold_02,e3_len224,Строительство и ремонт,0.8338875483073315
fold_02,e3_len224,Одежда,0.5799794386003307
fold_02,e3_len224,Детские товары,0.9244771160530393
fold_02,e3_len224,Ювелирные изделия,0.5790125950886484
fold_02,e3_len224,Музыкальные инструменты,0.8677723579702852
fold_02,e3_len224,Электроника,0.7913889385893702
fold_02,e3_len224,Продукты питания,0.8974482382544476
fold_02,e3_len224,Дом и сад,0.8558256112091001
fold_02,e3_len224,Товары для животных,0.9105020752937463
fold_02,e3_len224,Канцелярские товары,0.8432678029525814
fold_02,e3_len224,Бытовая химия,0.9222135999807944
fold_02,e3_len224,Галантерея и аксессуары,0.7497743416967647
fold_02,e3_len224,Обувь,0.5715737055257158
fold_02,e3_len224,Бытовая техника,0.8579218876138615
fold_02,e3_len224,Красота и гигиена,0.8344934957310894
fold_02,e3_len224,Аптека,0.8816362765078382
fold_02,e3_len224,Мебель,0.7584975217560997
fold_02,e3_len224,Спорт и отдых,0.7642397461185553
fold_02,e3_len224,Автотовары,0.7483346727905971
fold_02,e2_len384,Красота и гигиена,0.8335691540642415
fold_02,e2_len384,Бытовая техника,0.85917226513295
fold_02,e2_len384,Товары для животных,0.9105114817751536
fold_02,e2_len384,Электроника,0.7909201958265433
fold_02,e2_len384,Галантерея и аксессуары,0.7472128579369074
fold_02,e2_len384,Продукты питания,0.8973800876440656
fold_02,e2_len384,Одежда,0.5865532887437663
fold_02,e2_len384,Обувь,0.5852312357282522
fold_02,e2_len384,Мебель,0.7788508704966095
fold_02,e2_len384,Хобби и творчество,0.942911397021306
fold_02,e2_len384,Детские товары,0.923942258364163
fold_02,e2_len384,Канцелярские товары,0.840287073095165
fold_02,e2_len384,Автотовары,0.7479126419415081
fold_02,e2_len384,Бытовая химия,0.9188107765725498
fold_02,e2_len384,Музыкальные инструменты,0.8657796314746682
fold_02,e2_len384,Дом и сад,0.8553183282107875
fold_02,e2_len384,Строительство и ремонт,0.8391316571337426
fold_02,e2_len384,Спорт и отдых,0.7663797664853151
fold_02,e2_len384,Ювелирные изделия,0.5799302446668279
fold_02,e2_len384,Аптека,0.8791045069930731
fold_02,e3_len384,Музыкальные инструменты,0.868508998075612
fold_02,e3_len384,Галантерея и аксессуары,0.7487652272425812
fold_02,e3_len384,Мебель,0.7789374173233222
fold_02,e3_len384,Красота и гигиена,0.8363542098716772
fold_02,e3_len384,Товары для животных,0.9111827743995141
fold_02,e3_len384,Дом и сад,0.8588815722131532
fold_02,e3_len384,Спорт и отдых,0.764326121282182
fold_02,e3_len384,Ювелирные изделия,0.5811071404474584
fold_02,e3_len384,Хобби и творчество,0.9447931409790791
fold_02,e3_len384,Обувь,0.5852921921948584
fold_02,e3_len384,Бытовая техника,0.8565423843358704
fold_02,e3_len384,Бытовая химия,0.9216447997827056
fold_02,e3_len384,Продукты питания,0.8985221050299586
fold_02,e3_len384,Электроника,0.7935345175198181
fold_02,e3_len384,Одежда,0.5870300819694753
fold_02,e3_len384,Автотовары,0.7487368544891041
fold_02,e3_len384,Канцелярские товары,0.8428929788675897
fold_02,e3_len384,Аптека,0.8818730526298281
fold_02,e3_len384,Строительство и ремонт,0.8404170466716304
fold_02,e3_len384,Детские товары,0.9251158200964464
