fold,variant,macro_category_ap,pooled_ap,brier,logloss,ece15,delta_macro_category_ap,delta_pooled_ap,delta_brier,delta_logloss,delta_ece15
fold_01,bce,0.7994000011424561,0.849524582545922,0.08357665468799759,0.2762074853095696,0.013371301368858102,0.0,0.0,0.0,0.0,0.0
fold_02,bce,0.8047863386255907,0.858216967474909,0.08198529644637165,0.2716985582353844,0.015161030521875054,0.0,0.0,0.0,0.0,0.0
