variant,fold,prauc,macro_category_prauc,worst_fashion_prauc,mean_fashion_prauc
baseline,fold_01,0.8496890497104598,0.7996818437367808,0.5778343088293286,0.6326001030289727
category_balanced,fold_01,0.8498578603901585,0.7996482629449482,0.577649499806539,0.6316806933212988
baseline,fold_02,0.8583575984526934,0.8047190147766636,0.5737078676092485,0.6192772141488483
category_balanced,fold_02,0.8582588263951691,0.8040912543230748,0.5690024886563119,0.6157456426899012
baseline,mean_2fold,0.8540233240815767,0.8019460555219748,0.5749243167784033,0.6252866736476396
category_balanced,mean_2fold,0.8540583433926638,0.8015699489848565,0.5767908292397117,0.623172039421241
