category,fold,slice,alternative,channel_type,n,positives,baseline_ap,alternative_ap,blend_ap,blend_delta,status
Обувь,fold_01,all,zs_llm_blend,independent,4482,446,0.5788291810730476,0.2734738933898072,0.5712736903263463,-0.007555490746701254,checked
Обувь,fold_01,all,knrm_name_v2,independent,4482,446,0.5788291810730476,0.2380166884561997,0.5546127745445611,-0.024216406528486445,checked
Обувь,fold_01,all,ce_priodistill,diagnostic_non_independent,4482,446,0.5788291810730476,0.5762124962447391,0.5817432959000387,0.00291411482699111,checked
Обувь,fold_01,all,ce_fashion_specialist,diagnostic_non_independent,4482,446,0.5788291810730476,0.5658503130286366,0.5819813627097269,0.0031521816366792965,checked
Обувь,fold_01,name_exact,zs_llm_blend,independent,240,21,0.43652757423365907,0.2448228777599684,0.4241305991404576,-0.012396975093201479,checked
Обувь,fold_01,name_exact,knrm_name_v2,independent,240,21,0.43652757423365907,0.11301705630008568,0.43490444613218815,-0.0016231281014709165,checked
Обувь,fold_01,name_exact,ce_priodistill,diagnostic_non_independent,240,21,0.43652757423365907,0.45734042806342556,0.44931118099357265,0.01278360675991358,checked
Обувь,fold_01,name_exact,ce_fashion_specialist,diagnostic_non_independent,240,21,0.43652757423365907,0.5238619015915901,0.4497105046863853,0.013182930452726227,checked
Обувь,fold_01,name_near,zs_llm_blend,independent,54,5,0.6248366013071895,0.35980552155582757,0.6240858505564388,-0.0007507507507507061,checked
Обувь,fold_01,name_near,knrm_name_v2,independent,54,5,0.6248366013071895,0.4025462962962963,0.5833333333333333,-0.041503267973856284,checked
Обувь,fold_01,name_near,ce_priodistill,diagnostic_non_independent,54,5,0.6248366013071895,0.6989247311827957,0.6756302521008404,0.050793650793650835,checked
Обувь,fold_01,name_near,ce_fashion_specialist,diagnostic_non_independent,54,5,0.6248366013071895,0.7222222222222221,0.6756302521008404,0.050793650793650835,checked
Обувь,fold_01,name_other,zs_llm_blend,independent,4188,420,0.5862473570066025,0.2765084253503454,0.5775907379444779,-0.00865661906212456,checked
Обувь,fold_01,name_other,knrm_name_v2,independent,4188,420,0.5862473570066025,0.2542206724963201,0.5643153577320443,-0.021931999274558134,checked
Обувь,fold_01,name_other,ce_priodistill,diagnostic_non_independent,4188,420,0.5862473570066025,0.5824774186928134,0.5890088966827661,0.00276153967616366,checked
Обувь,fold_01,name_other,ce_fashion_specialist,diagnostic_non_independent,4188,420,0.5862473570066025,0.5709726322076112,0.5892263017981116,0.002978944791509175,checked
Обувь,fold_01,attrs_present,zs_llm_blend,independent,4482,446,0.5788291810730476,0.2734738933898072,0.5712736903263463,-0.007555490746701254,checked
Обувь,fold_01,attrs_present,knrm_name_v2,independent,4482,446,0.5788291810730476,0.2380166884561997,0.5546127745445611,-0.024216406528486445,checked
Обувь,fold_01,attrs_present,ce_priodistill,diagnostic_non_independent,4482,446,0.5788291810730476,0.5762124962447391,0.5817432959000387,0.00291411482699111,checked
Обувь,fold_01,attrs_present,ce_fashion_specialist,diagnostic_non_independent,4482,446,0.5788291810730476,0.5658503130286366,0.5819813627097269,0.0031521816366792965,checked
Обувь,fold_01,brand_agree,zs_llm_blend,independent,538,146,0.6794075190749295,0.43277675453171005,0.6600414898188671,-0.019366029256062345,checked
Обувь,fold_01,brand_agree,knrm_name_v2,independent,538,146,0.6794075190749295,0.4145719094098421,0.6375984424670916,-0.041809076607837836,checked
Обувь,fold_01,brand_agree,ce_priodistill,diagnostic_non_independent,538,146,0.6794075190749295,0.6798557496202072,0.6843028786120998,0.004895359537170352,checked
Обувь,fold_01,brand_agree,ce_fashion_specialist,diagnostic_non_independent,538,146,0.6794075190749295,0.6653214046700855,0.683428635861194,0.004021116786264489,checked
Обувь,fold_01,brand_conflict,zs_llm_blend,independent,475,32,0.645580791398237,0.5424546724526479,0.6693065561587747,0.02372576476053767,checked
Обувь,fold_01,brand_conflict,knrm_name_v2,independent,475,32,0.645580791398237,0.2475721218294386,0.6253075414403462,-0.020273249957890815,checked
Обувь,fold_01,brand_conflict,ce_priodistill,diagnostic_non_independent,475,32,0.645580791398237,0.6786439493864342,0.6478475067602585,0.0022667153620214986,checked
Обувь,fold_01,brand_conflict,ce_fashion_specialist,diagnostic_non_independent,475,32,0.645580791398237,0.6502026267816057,0.6482127565368121,0.0026319651385751097,checked
Обувь,fold_01,brand_one_missing,zs_llm_blend,independent,3469,268,0.5117979628160205,0.2261408866394648,0.5047965939628777,-0.007001368853142842,checked
Обувь,fold_01,brand_one_missing,knrm_name_v2,independent,3469,268,0.5117979628160205,0.18953033601447755,0.4983700453132439,-0.01342791750277661,checked
Обувь,fold_01,brand_one_missing,ce_priodistill,diagnostic_non_independent,3469,268,0.5117979628160205,0.5016520144040969,0.5143634056729223,0.002565442856901745,checked
Обувь,fold_01,brand_one_missing,ce_fashion_specialist,diagnostic_non_independent,3469,268,0.5117979628160205,0.49705352996679275,0.5141544553858801,0.0023564925698595918,checked
Обувь,fold_01,model_agree,zs_llm_blend,independent,59,5,0.8083333333333333,0.5777235772357723,0.7783333333333333,-0.030000000000000027,checked
Обувь,fold_01,model_agree,knrm_name_v2,independent,59,5,0.8083333333333333,0.5136953242835596,0.8761904761904762,0.06785714285714284,checked
Обувь,fold_01,model_agree,ce_priodistill,diagnostic_non_independent,59,5,0.8083333333333333,0.925,0.8083333333333333,0.0,checked
Обувь,fold_01,model_agree,ce_fashion_specialist,diagnostic_non_independent,59,5,0.8083333333333333,0.9428571428571428,0.8083333333333333,0.0,checked
Обувь,fold_01,model_conflict,zs_llm_blend,independent,1218,171,0.6536103724180397,0.41287600265288327,0.6354103643980461,-0.018200008019993552,checked
Обувь,fold_01,model_conflict,knrm_name_v2,independent,1218,171,0.6536103724180397,0.406598877713696,0.6258138787781178,-0.02779649363992187,checked
Обувь,fold_01,model_conflict,ce_priodistill,diagnostic_non_independent,1218,171,0.6536103724180397,0.6615022435920065,0.6591939246492037,0.005583552231164024,checked
Обувь,fold_01,model_conflict,ce_fashion_specialist,diagnostic_non_independent,1218,171,0.6536103724180397,0.6484205621160387,0.6608763397582571,0.00726596734021745,checked
Обувь,fold_01,model_one_missing,zs_llm_blend,independent,3205,270,0.5267407068723505,0.21633647602068667,0.5234999600268879,-0.0032407468454626054,checked
Обувь,fold_01,model_one_missing,knrm_name_v2,independent,3205,270,0.5267407068723505,0.1808204664723757,0.5025961815556728,-0.024144525316677767,checked
Обувь,fold_01,model_one_missing,ce_priodistill,diagnostic_non_independent,3205,270,0.5267407068723505,0.5143310620318085,0.5281817976931201,0.0014410908207695972,checked
Обувь,fold_01,model_one_missing,ce_fashion_specialist,diagnostic_non_independent,3205,270,0.5267407068723505,0.5041362296678367,0.5274345344419269,0.0006938275695763663,checked
Обувь,fold_01,article_both_missing,zs_llm_blend,independent,3369,292,0.5275995673853298,0.23246918269357297,0.5203897155314743,-0.007209851853855476,checked
Обувь,fold_01,article_both_missing,knrm_name_v2,independent,3369,292,0.5275995673853298,0.20519765740494847,0.5152945911677963,-0.012304976217533459,checked
Обувь,fold_01,article_both_missing,ce_priodistill,diagnostic_non_independent,3369,292,0.5275995673853298,0.523105515823162,0.5311193862767444,0.0035198188914146167,checked
