category,n,local_prior,public_prior,local_baseline_ap,prevalence_shift_weighted_ap,public_baseline_ap,public_minus_shift_expectation
Обувь,18362,0.0987365210761355,0.045808781600456185,0.575707685440036,0.40205884749570536,0.09652270022990363,-0.30553614726580175
Одежда,23357,0.11778053688401764,0.057251184834123225,0.5955450719855153,0.42501393308898855,0.11084216129694444,-0.31417177179204414
Галантерея и аксессуары,17984,0.16764902135231316,0.043035306516774986,0.7403379761692399,0.4715228269032221,0.24218789350808034,-0.22933493339514177
Ювелирные изделия,18695,0.12393688151912276,0.015708741452596563,0.6150566896449237,0.2394693655603492,0.2865652517631082,0.04709588620275901
