held_fold,category,global_w1,global_w2,cat_w1,cat_w2,shrink_w1,shrink_w2
fold_01,Автотовары,0.2,0.1,0.025,0.2,0.06875,0.17500000000000002
fold_01,Аптека,0.2,0.1,0.2,0.025,0.2,0.043750000000000004
fold_01,Бытовая техника,0.2,0.1,0.1,0.05,0.125,0.0625
fold_01,Бытовая химия,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_01,Галантерея и аксессуары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_01,Детские товары,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Дом и сад,0.2,0.1,0.2,0.0,0.2,0.025
fold_01,Канцелярские товары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_01,Красота и гигиена,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Мебель,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Музыкальные инструменты,0.2,0.1,0.05,0.2,0.08750000000000001,0.17500000000000002
fold_01,Обувь,0.2,0.1,0.025,0.2,0.06875,0.17500000000000002
fold_01,Одежда,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Продукты питания,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Спорт и отдых,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_01,Строительство и ремонт,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Товары для животных,0.2,0.1,0.2,0.0,0.2,0.025
fold_01,Хобби и творчество,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_01,Электроника,0.2,0.1,0.2,0.1,0.2,0.1
fold_01,Ювелирные изделия,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Автотовары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_02,Аптека,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Бытовая техника,0.2,0.1,0.2,0.0,0.2,0.025
fold_02,Бытовая химия,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_02,Галантерея и аксессуары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_02,Детские товары,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Дом и сад,0.2,0.1,0.2,0.025,0.2,0.043750000000000004
fold_02,Канцелярские товары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_02,Красота и гигиена,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Мебель,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Музыкальные инструменты,0.2,0.1,0.0,0.1,0.05,0.1
fold_02,Обувь,0.2,0.1,0.2,0.05,0.2,0.0625
fold_02,Одежда,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Продукты питания,0.2,0.1,0.2,0.025,0.2,0.043750000000000004
fold_02,Спорт и отдых,0.2,0.1,0.2,0.1,0.2,0.1
fold_02,Строительство и ремонт,0.2,0.1,0.2,0.1,0.2,0.1
