held_fold,category,single_rubase,single_e5,single_mdeb,single_zs,single_distill,grid_rubase,grid_e5,grid_mdeb,grid_zs,grid_distill
fold_03,Мебель,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
fold_03,Музыкальные инструменты,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.5
fold_03,Обувь,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.75
fold_03,Одежда,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
fold_03,Продукты питания,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_03,Спорт и отдых,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.0,0.25
fold_03,Строительство и ремонт,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.0,0.25
fold_03,Товары для животных,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_03,Хобби и творчество,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.5
fold_03,Электроника,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.25,0.5
fold_03,Ювелирные изделия,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.0,0.25
fold_03,__GLOBAL__,,,,,,0.25,0.0,0.25,0.0,0.5
fold_04,Автотовары,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.5
fold_04,Аптека,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.25
fold_04,Бытовая техника,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Бытовая химия,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Галантерея и аксессуары,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.75
fold_04,Детские товары,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.75
fold_04,Дом и сад,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Канцелярские товары,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.0,0.25
fold_04,Красота и гигиена,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.0,0.25
fold_04,Мебель,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
fold_04,Музыкальные инструменты,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.5
fold_04,Обувь,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5
fold_04,Одежда,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
fold_04,Продукты питания,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Спорт и отдых,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Строительство и ремонт,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Товары для животных,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5
fold_04,Хобби и творчество,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.0,0.5
fold_04,Электроника,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.25,0.5
fold_04,Ювелирные изделия,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25
fold_04,__GLOBAL__,,,,,,0.25,0.0,0.25,0.0,0.5
