variant,seed,primary,secondary
permuted_selection,0,0.7240320929706672,0.7281152672946507
permuted_selection,1,0.7350209377599544,0.73804361251674
permuted_selection,2,0.7326770179490782,0.7345152574485811
permuted_selection,3,0.7621260058863744,0.763758292754827
permuted_selection,4,0.7505130142559151,0.7533056758744767
permuted_selection,5,0.7179496892989415,0.7223790423161436
permuted_selection,6,0.7505005108899615,0.7518628430025482
permuted_selection,7,0.7322422642294375,0.735530716244289
permuted_selection,8,0.770464745530086,0.772981757069109
permuted_selection,9,0.7540891466533013,0.7564633664331205
random_weights,0,0.7883033949980118,0.7888547691646118
random_weights,1,0.7870089130729718,0.7875953335184962
random_weights,2,0.7857212857343244,0.7861716572258042
random_weights,3,0.7907396447754189,0.7914216467256866
random_weights,4,0.7899680987325354,0.7907598630248155
random_weights,5,0.7921654117080954,0.7929962783421498
random_weights,6,0.7905648470217952,0.7909821626743943
random_weights,7,0.7906607619547918,0.7913184421365049
random_weights,8,0.7910154694252172,0.7916856655751446
random_weights,9,0.7846129816794236,0.7854113996375734
random_weights,10,0.786518057388844,0.7872878164963961
random_weights,11,0.7912277107548181,0.7915443103848856
random_weights,12,0.7848347365975099,0.7856361903685813
random_weights,13,0.790797627769989,0.7913193179149598
random_weights,14,0.7881319779373881,0.7892680133585759
random_weights,15,0.7898663450400736,0.7912444543369377
random_weights,16,0.7927653862499688,0.7936569585247295
random_weights,17,0.7880865896092808,0.788488581392943
random_weights,18,0.7914077140187719,0.791702670876197
random_weights,19,0.7887605691861477,0.7894205656455658
random_weights,20,0.7929974765124848,0.7939003390246985
random_weights,21,0.7903979039013226,0.7909301304756392
random_weights,22,0.7891276042862903,0.7896656964657002
random_weights,23,0.7888914505340756,0.7895143041407704
random_weights,24,0.789214019792229,0.7899666776807986
