variant,fold,metric,delta_vs_baseline,delta_vs_global_grid,status,mean_fold_metric,std_fold_metric,min_fold_delta,bootstrap95_low,bootstrap95_high,strong_bootstrap95_low,strong_bootstrap95_high
global_equal,fold_01,0.7962659224699903,0.0,-0.004415075057404683,checked,,,,,,,
global_equal,fold_02,0.8007358529914061,0.0,-0.006938141761030803,checked,,,,,,,
global_equal,fold_03,0.7972241569725245,0.0,-0.004317165855893812,checked,,,,,,,
global_equal,fold_04,0.7970947521122317,0.0,-0.007059522761705073,checked,,,,,,,
global_equal,aggregate,0.7974431928783947,0.0,-0.005679645151660306,checked,0.7978301711365381,0.0019830914620698487,0.0,0.0,0.0,-0.008443928728877031,-0.0032576931377198103
global_grid_nested,fold_01,0.800680997527395,0.004415075057404683,0.0,checked,,,,,,,
global_grid_nested,fold_02,0.807673994752437,0.006938141761030803,0.0,checked,,,,,,,
global_grid_nested,fold_03,0.8015413228284183,0.004317165855893812,0.0,checked,,,,,,,
global_grid_nested,fold_04,0.8041542748739368,0.007059522761705073,0.0,checked,,,,,,,
global_grid_nested,aggregate,0.803122838030055,0.005679645151660306,0.0,checked,0.8035126474955467,0.0031428680728749665,0.004317165855893812,0.0032336387411303754,0.008601281557877,0.0,0.0
category_best_single,fold_01,0.7966386207405121,0.0003726982705217763,-0.004042376786882906,checked,,,,,,,
category_best_single,fold_02,0.803383965842764,0.002648112851357798,-0.004290028909673005,checked,,,,,,,
category_best_single,fold_03,0.7989490546888247,0.0017248977163002444,-0.0025922681395935676,checked,,,,,,,
category_best_single,fold_04,0.799491370804917,0.0023966186926852595,-0.004662904069019813,checked,,,,,,,
category_best_single,aggregate,0.7993033743800975,0.0018601815017027512,-0.003819463649957555,checked,0.7996157530192545,0.002800160833918448,0.0003726982705217763,-0.0015682360762512182,0.005867052766015462,-0.005664074429966856,-0.002087018809937159
category_grid_raw,fold_01,0.8024178451738859,0.00615192270389564,0.0017368476464909577,checked,,,,,,,
category_grid_raw,fold_02,0.8083359695926349,0.007600116601228724,0.0006619748401979209,checked,,,,,,,
category_grid_raw,fold_03,0.8031361242681452,0.0059119672956207125,0.0015948014397269006,checked,,,,,,,
category_grid_raw,fold_04,0.8048913534487661,0.00779660133653437,0.0007370785748292974,checked,,,,,,,
category_grid_raw,aggregate,0.8041822109087116,0.006739018030316846,0.0010593728786565393,checked,0.804695323120858,0.0026401225655365733,0.0059119672956207125,0.00334661568695129,0.010721028256876338,4.9211185270498786e-05,0.002537795320068125
category_grid_shrink25,fold_01,0.8006347212754525,0.0043687988054622595,-4.627625194242313e-05,checked,,,,,,,
category_grid_shrink25,fold_02,0.805444159170818,0.00470830617941187,-0.002229835581618933,checked,,,,,,,
category_grid_shrink25,fold_03,0.801843933651916,0.004619776679391507,0.0003026108234976954,checked,,,,,,,
category_grid_shrink25,fold_04,0.8017460556010156,0.004651303488783953,-0.0024082192729211194,checked,,,,,,,
category_grid_shrink25,aggregate,0.8020163061396002,0.004573113261205464,-0.0011065318904548427,checked,0.8024172174248005,0.002091154492474019,0.0043687988054622595,0.0028484644523754745,0.006546089717283252,-0.0021938231153525523,-8.943076575603661e-05
category_grid_shrink50,fold_01,0.8032949547623627,0.007029032292372395,0.002613957234967712,checked,,,,,,,
category_grid_shrink50,fold_02,0.8083879682025717,0.0076521152111656,0.0007139734501347972,checked,,,,,,,
category_grid_shrink50,fold_03,0.8043939693986231,0.0071698124260985985,0.0028526465702047865,checked,,,,,,,
category_grid_shrink50,fold_04,0.8047502506655491,0.007655498553317375,0.0005959757916123021,checked,,,,,,,
category_grid_shrink50,aggregate,0.8048177797969238,0.007374586918529102,0.001694941766868796,checked,0.8052067857572767,0.002209382585417703,0.007029032292372395,0.004503633778418477,0.010795364795678008,0.0008200662244153068,0.0026263560565811315
category_grid_shrink75,fold_01,0.8041573409172196,0.007891418447229293,0.00347634338982461,checked,,,,,,,
category_grid_shrink75,fold_02,0.8095765675954029,0.008840714603996713,0.0019025728429659106,checked,,,,,,,
category_grid_shrink75,fold_03,0.8050206595986147,0.007796502626090218,0.003479336770196406,checked,,,,,,,
category_grid_shrink75,fold_04,0.8060420138184125,0.008947261706180765,0.001887738944475692,checked,,,,,,,
category_grid_shrink75,aggregate,0.805736477850162,0.00829328497176729,0.0026136398201069833,checked,0.8061991454824123,0.002379738455510121,0.007796502626090218,0.0048362282201803745,0.012346158290229045,0.0014141267640053834,0.004070247109482068
