fold,global_grid_nested,category_grid_shrink75,delta
fold_01,0.800680997527395,0.8041573409172196,0.00347634338982461
fold_02,0.807673994752437,0.8095765675954029,0.0019025728429659106
fold_03,0.8015413228284183,0.8050206595986147,0.003479336770196406
fold_04,0.8041542748739368,0.8060420138184125,0.001887738944475692
