timestamp,memory_used_mib,utilization_gpu_pct
2026-08-24T10:37:31+03:00,5220, 0
2026-08-24T10:37:32+03:00,5220, 0
2026-08-24T10:37:33+03:00,5220, 0
2026-08-24T10:37:34+03:00,5220, 0
2026-08-24T10:37:35+03:00,5220, 0
2026-08-24T10:37:36+03:00,5220, 0
2026-08-24T10:37:37+03:00,5220, 0
2026-08-24T10:37:38+03:00,5220, 0
2026-08-24T10:37:39+03:00,5220, 0
2026-08-24T10:37:41+03:00,5220, 0
2026-08-24T10:37:42+03:00,5220, 0
2026-08-24T10:37:43+03:00,5220, 0
2026-08-24T10:37:44+03:00,5220, 0
2026-08-24T10:37:45+03:00,5220, 0
2026-08-24T10:37:46+03:00,5220, 0
2026-08-24T10:37:47+03:00,5220, 0
2026-08-24T10:37:48+03:00,5220, 0
2026-08-24T10:37:49+03:00,5220, 0
2026-08-24T10:37:50+03:00,5220, 0
2026-08-24T10:37:51+03:00,5220, 0
2026-08-24T10:37:52+03:00,5220, 0
2026-08-24T10:37:53+03:00,5220, 0
2026-08-24T10:37:54+03:00,5220, 0
2026-08-24T10:37:55+03:00,5220, 0
2026-08-24T10:37:56+03:00,5220, 0
2026-08-24T10:37:57+03:00,5220, 0
2026-08-24T10:37:58+03:00,5220, 0
2026-08-24T10:37:59+03:00,5220, 0
2026-08-24T10:38:00+03:00,5220, 0
2026-08-24T10:38:01+03:00,5220, 0
2026-08-24T10:38:02+03:00,5220, 0
2026-08-24T10:38:03+03:00,5220, 0
2026-08-24T10:38:04+03:00,5220, 0
2026-08-24T10:38:05+03:00,5220, 0
2026-08-24T10:38:06+03:00,5220, 0
2026-08-24T10:38:07+03:00,5220, 0
2026-08-24T10:38:08+03:00,5220, 0
2026-08-24T10:38:09+03:00,5220, 0
2026-08-24T10:38:10+03:00,5220, 0
2026-08-24T10:38:11+03:00,5220, 0
2026-08-24T10:38:12+03:00,5220, 0
2026-08-24T10:38:14+03:00,5220, 0
2026-08-24T10:38:15+03:00,5220, 0
2026-08-24T10:38:16+03:00,5220, 0
2026-08-24T10:38:17+03:00,5220, 0
2026-08-24T10:38:18+03:00,5220, 0
2026-08-24T10:38:19+03:00,5220, 0
2026-08-24T10:38:20+03:00,5220, 0
2026-08-24T10:38:21+03:00,5220, 0
2026-08-24T10:38:22+03:00,5220, 0
2026-08-24T10:38:23+03:00,5220, 0
2026-08-24T10:38:24+03:00,5220, 0
2026-08-24T10:38:25+03:00,5220, 0
2026-08-24T10:38:26+03:00,5220, 0
2026-08-24T10:38:27+03:00,5220, 0
2026-08-24T10:38:28+03:00,5220, 0
2026-08-24T10:38:29+03:00,5220, 0
2026-08-24T10:38:30+03:00,5220, 0
2026-08-24T10:38:31+03:00,5220, 0
2026-08-24T10:38:32+03:00,5220, 0
2026-08-24T10:38:33+03:00,5220, 0
2026-08-24T10:38:34+03:00,5220, 0
2026-08-24T10:38:35+03:00,5220, 0
2026-08-24T10:38:36+03:00,5220, 0
2026-08-24T10:38:37+03:00,5220, 0
2026-08-24T10:38:38+03:00,5220, 0
2026-08-24T10:38:39+03:00,5220, 0
2026-08-24T10:38:40+03:00,5220, 0
2026-08-24T10:38:41+03:00,5220, 0
2026-08-24T10:38:42+03:00,5220, 0
2026-08-24T10:38:43+03:00,5220, 0
2026-08-24T10:38:44+03:00,5220, 0
2026-08-24T10:38:45+03:00,5220, 0
2026-08-24T10:38:46+03:00,5220, 0
2026-08-24T10:38:48+03:00,5220, 0
2026-08-24T10:38:49+03:00,5220, 0
2026-08-24T10:38:50+03:00,5220, 0
2026-08-24T10:38:51+03:00,5220, 0
2026-08-24T10:38:52+03:00,5220, 0
2026-08-24T10:38:53+03:00,5220, 0
2026-08-24T10:38:54+03:00,5220, 0
2026-08-24T10:38:55+03:00,5220, 0
2026-08-24T10:38:56+03:00,5220, 0
2026-08-24T10:38:57+03:00,5220, 0
2026-08-24T10:38:58+03:00,5220, 0
2026-08-24T10:38:59+03:00,5220, 0
2026-08-24T10:39:00+03:00,5220, 0
2026-08-24T10:39:01+03:00,5220, 0
2026-08-24T10:39:02+03:00,5220, 0
2026-08-24T10:39:03+03:00,5220, 0
2026-08-24T10:39:04+03:00,5220, 0
2026-08-24T10:39:05+03:00,5220, 0
2026-08-24T10:39:06+03:00,5220, 0
2026-08-24T10:39:07+03:00,5220, 0
2026-08-24T10:39:08+03:00,5220, 0
2026-08-24T10:39:09+03:00,5220, 0
2026-08-24T10:39:10+03:00,5220, 0
2026-08-24T10:39:11+03:00,5220, 0
2026-08-24T10:39:12+03:00,5220, 0
2026-08-24T10:39:13+03:00,5220, 0
2026-08-24T10:39:14+03:00,5220, 0
2026-08-24T10:39:15+03:00,5220, 0
2026-08-24T10:39:16+03:00,5220, 0
