timestamp,memory_used_mib,utilization_gpu_pct
2026-08-24T10:18:10+03:00,5220, 0
2026-08-24T10:18:11+03:00,5220, 0
2026-08-24T10:18:12+03:00,5220, 0
2026-08-24T10:18:13+03:00,5220, 0
2026-08-24T10:18:14+03:00,5220, 0
2026-08-24T10:18:15+03:00,5220, 0
2026-08-24T10:18:16+03:00,5220, 0
2026-08-24T10:18:17+03:00,5220, 0
2026-08-24T10:18:18+03:00,5220, 0
2026-08-24T10:18:19+03:00,5220, 0
2026-08-24T10:18:20+03:00,5220, 0
2026-08-24T10:18:21+03:00,5220, 0
2026-08-24T10:18:22+03:00,5220, 0
2026-08-24T10:18:24+03:00,5220, 0
2026-08-24T10:18:25+03:00,5220, 0
2026-08-24T10:18:26+03:00,5220, 0
2026-08-24T10:18:27+03:00,5220, 0
2026-08-24T10:18:28+03:00,5220, 0
2026-08-24T10:18:29+03:00,5220, 0
2026-08-24T10:18:30+03:00,5220, 0
2026-08-24T10:18:31+03:00,5220, 0
2026-08-24T10:18:32+03:00,5220, 0
2026-08-24T10:18:33+03:00,5220, 0
2026-08-24T10:18:34+03:00,5220, 0
2026-08-24T10:18:35+03:00,5220, 0
2026-08-24T10:18:36+03:00,5220, 0
2026-08-24T10:18:37+03:00,5220, 0
2026-08-24T10:18:38+03:00,5220, 0
2026-08-24T10:18:39+03:00,5220, 0
2026-08-24T10:18:40+03:00,5220, 0
2026-08-24T10:18:41+03:00,5220, 0
2026-08-24T10:18:42+03:00,5220, 0
2026-08-24T10:18:43+03:00,5220, 0
2026-08-24T10:18:44+03:00,5220, 0
2026-08-24T10:18:45+03:00,5220, 0
2026-08-24T10:18:46+03:00,5220, 0
2026-08-24T10:18:47+03:00,5220, 0
2026-08-24T10:18:48+03:00,5220, 0
2026-08-24T10:18:49+03:00,5220, 0
2026-08-24T10:18:50+03:00,5220, 0
2026-08-24T10:18:51+03:00,5220, 0
2026-08-24T10:18:52+03:00,5220, 0
2026-08-24T10:18:54+03:00,5220, 0
2026-08-24T10:18:55+03:00,5220, 0
2026-08-24T10:18:56+03:00,5220, 0
2026-08-24T10:18:57+03:00,5220, 0
2026-08-24T10:18:58+03:00,5220, 0
2026-08-24T10:18:59+03:00,5220, 0
2026-08-24T10:19:00+03:00,5220, 0
2026-08-24T10:19:01+03:00,5220, 0
2026-08-24T10:19:02+03:00,5220, 0
2026-08-24T10:19:03+03:00,5220, 0
2026-08-24T10:19:04+03:00,5220, 0
2026-08-24T10:19:05+03:00,5220, 0
2026-08-24T10:19:06+03:00,5220, 0
2026-08-24T10:19:07+03:00,5220, 0
2026-08-24T10:19:08+03:00,5220, 0
2026-08-24T10:19:09+03:00,5220, 0
2026-08-24T10:19:10+03:00,5220, 0
