fold,variant,category,ap
fold_02,final,Канцелярские товары,0.8416257526717279
fold_02,final,Одежда,0.5738446174475132
fold_02,final,Строительство и ремонт,0.8343762468551815
fold_02,final,Продукты питания,0.8962253686741612
fold_02,final,Товары для животных,0.9093199911097288
fold_02,final,Электроника,0.7908995776050638
fold_02,final,Аптека,0.88083267365602
fold_02,final,Мебель,0.7564282692803491
fold_02,final,Музыкальные инструменты,0.8671598452530254
fold_02,final,Ювелирные изделия,0.572852744442225
fold_02,final,Галантерея и аксессуары,0.7463182884481446
fold_02,final,Дом и сад,0.8539788573325305
fold_02,final,Красота и гигиена,0.833422581268562
fold_02,late_avg,Музыкальные инструменты,0.8665670480066752
fold_02,late_avg,Одежда,0.573349642925481
fold_02,late_avg,Аптека,0.8800720360647222
fold_02,late_avg,Продукты питания,0.8961965967979588
fold_02,late_avg,Ювелирные изделия,0.572539206032913
fold_02,late_avg,Обувь,0.5751857515701205
fold_02,late_avg,Электроника,0.7898667231524513
fold_02,late_avg,Красота и гигиена,0.8335144294557802
fold_02,late_avg,Спорт и отдых,0.7646814218042022
fold_02,late_avg,Хобби и творчество,0.9437662185047988
fold_02,late_avg,Мебель,0.7550006585784094
fold_02,late_avg,Автотовары,0.7469962640923066
fold_02,late_avg,Детские товары,0.923677971015491
fold_02,late_avg,Галантерея и аксессуары,0.7458951531477404
fold_02,late_avg,Строительство и ремонт,0.8339383334418022
fold_02,late_avg,Канцелярские товары,0.8414634900979957
fold_02,late_avg,Дом и сад,0.8538547992772089
fold_02,late_avg,Товары для животных,0.9093995009086903
fold_02,late_avg,Бытовая техника,0.8574520794937813
fold_02,late_avg,Бытовая химия,0.9213918912663293
fold_02,ema,Автотовары,0.7470406489438634
fold_02,ema,Обувь,0.5760069798403195
fold_02,ema,Детские товары,0.923530597860286
fold_02,ema,Красота и гигиена,0.8335854342760916
fold_02,ema,Канцелярские товары,0.8413108808816284
fold_02,ema,Электроника,0.7903628987224529
fold_02,ema,Дом и сад,0.8536585772761052
fold_02,ema,Строительство и ремонт,0.8339659468261063
fold_02,ema,Товары для животных,0.909343695652433
fold_02,ema,Одежда,0.5733779676295836
fold_02,ema,Спорт и отдых,0.7648280774227545
fold_02,ema,Музыкальные инструменты,0.8667744304724381
fold_02,ema,Аптека,0.8805248802376089
fold_02,ema,Галантерея и аксессуары,0.7451886271745353
fold_02,ema,Мебель,0.7562151496245465
fold_02,ema,Ювелирные изделия,0.5720020175616473
fold_02,ema,Бытовая химия,0.9211898509324071
fold_02,ema,Продукты питания,0.8962203866368618
fold_02,ema,Бытовая техника,0.8576785559292578
fold_02,ema,Хобби и творчество,0.9436982521553302
fold_02,early_avg,Ювелирные изделия,0.5651259106015383
fold_02,early_avg,Дом и сад,0.8486968666237705
fold_02,early_avg,Спорт и отдых,0.7601066782944814
fold_02,early_avg,Красота и гигиена,0.8306457188559317
fold_02,early_avg,Автотовары,0.7436890104065075
fold_02,early_avg,Детские товары,0.9211309100686935
fold_02,early_avg,Электроника,0.7870567114619158
fold_02,early_avg,Канцелярские товары,0.836518669861027
fold_02,early_avg,Обувь,0.5648761613978269
fold_02,early_avg,Строительство и ремонт,0.8300600194999517
fold_02,early_avg,Музыкальные инструменты,0.8612940597527327
fold_02,early_avg,Товары для животных,0.9068208995864535
